umoId,title,artistCreator,description,objectId,_id,photographer,people,appDate,isoDate,origDate,creationPlace,event,latitude,longitude,exhibition,labelTextEnglish,labelTextSpanish,locality,specimenNumber,commonName,scientificName,medium,copyright,creditLine,keyword,restrictionsForAccess,materialsReleaseRecd,permissionsRestrictions,sourceInstitution,infoStatus,institutionDesc,habitatDs,dsLocId,generalLocationDs,thenNowDs,internalNotes,,,,,thumbWidth,thumbHeight,thumbAspectRatio,expandedHeight,expandedWidth,expandedAspectRatio,
,Venice Canal,,Venice Canal,5862393574_1e1177e544_o,ds19048,cuddlecafe,,21-Jun-11,6/21/11,2011-Jun-21,"Venice Beach, CA",,33.983688,-118.466263,Attic / Coast to Cactus,Venice Canal.,Canal de Venice.,,,,,,"(CC) cuddlecafe, Creative Commons License 2.0",cuddlecafe,water,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Coast,19,Los Angeles,,https://www.flickr.com/photos/humansquid/5862393574/,,,,,175,98,1.78571,1000,561,1.78253,Canal de Venice.
,,,Mr Green Buddy. Allen's Hummer. All shiny and nice looking.,14129686642_328f44dac1_o,ds19047,tdlucas5000,,3-May-14,5/3/14,2014-May-03,"Lakewood, CA",,33.844693,-118.113051,Attic / Coast to Cactus,"""Mr. Green Buddy"": an Allen's Hummingbird, all shiny and nice looking.","""El Sr. Green Buddy"": un zumbador de Allen, todo brilloso y bien parecido.",,,,,,"(CC) tdlucas5000, Creative Commons License BY-SA 2.0",tdlucas5000,"hummingbird, bird",https://creativecommons.org/licenses/by-sa/2.0/,,https://creativecommons.org/licenses/by-sa/2.0/,,,,Urban,19,Los Angeles,,https://www.flickr.com/photos/tdlucas5000/14129686642,,,,,175,109,1.6055,1000,625,1.6,"""El Sr. Green Buddy"": un zumbador de Allen, todo brilloso y bien parecido."
,,,"Mudriver. Small break in the rain during the worst day of rain in the last 10 years. The tide was so low that the area your looking at is usually 20' below water. It was amazing to be there, I wish you could have seen it.",5286610828_f3431a4db9_o,ds19046,Neil Kremer,,22-Dec-10,12/22/10,2010-Dec-22,"Manhattan Beach, CA",,33.8894944,-118.4010315,Attic / Coast to Cactus,A small break in the rain during the rainiest day in the last 10 years. The tide was so low that the area shown is usually 20ft. below water.,Una pequeÃ±a pausa en la lluvia durante el dÃ_a mÃ¡s lluvioso de los Ãºltimos diez aÃ±os. La marea estaba tan baja que la zona que aparece estÃ¡ generalmente a veinte pies bajo el agua.,,,,,,"(CC) Neil Kremer, Creative Commons License BY-ND 2.0",Neil Kremer,"tide, beach",https://creativecommons.org/licenses/by-nd/2.0/,,https://creativecommons.org/licenses/by-nd/2.0/,,,,Coast,19,Los Angeles,,https://www.flickr.com/photos/neilarmstrong2/5286610828,,,,,175,116,1.50862,1000,665,1.50376,Una pequeÃ±a pausa en la lluvia durante el dÃ_a mÃ¡s lluvioso de los Ãºltimos diez aÃ±os. La marea estaba tan baja que la zona que aparece estÃ¡ generalmente a veinte pies bajo el agua.
,,,Catalina Mariposa Lily. Calochortus catalinae,2391774294_00eaf57aaf_o,ds19045,Matthew Robinson,,5-Apr-08,4/5/08,2008-Apr-05,"Temescal Canyon, Pacific Palisades CA",,34.036789,-118.533834,Attic / Coast to Cactus,"Catalina Mariposa Lily, Calochortus catalinae","Lirio mariposa, Calochortus catalinae",,,,,,"(CC) Matthew Robinson, Creative Commons License 2.0",Matthew Robinson,plant,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Mountains,19,Los Angeles,,https://www.flickr.com/photos/noisecollusion/2391774294/,,,,,131,175,0.748571,600,800,0.75,"Lirio mariposa, Calochortus catalinae"
,"Extreme smog, 1995.",,"Extreme smog, 1995.",2930896786_3381b486e2_o,ds19044,,,1995,1995-00-00,1995,"Los Angeles, CA",,34.1923645,-118.493162,Attic / Coast to Cactus,Extreme smog in L.A.,Smog extremo en Los ÃÅngeles.,,,,,,"(CC) Metro Library and Archive, Creative Commons License BY-NC-SA 2.0",Metro Library and Archive,"smog, city, skyline",https://creativecommons.org/licenses/by-nc-sa/2.0/,,https://creativecommons.org/licenses/by-nc-sa/2.0/,,,,Urban,19,Los Angeles,,https://www.flickr.com/photos/metrolibraryarchive/2930896786/,,,,,175,131,1.33588,1000,750,1.33333,Smog extremo en Los ÃÅngeles.
,"Hildur & Corinne at the beach, Santa Monica",,"Hildur & Corinne at the beach, Santa Monica. If my grandmother was 11 months old, that would date this picture to late September or early October of 1910.",2246145039_c99efd11b3_o,ds19043,,,Mar-05,2005-03-00,2005-Mar,"Santa Monica, CA",,34.0218628,-118.4804206,Attic / Coast to Cactus,"Hildur & Corinne at the beach, Santa Monica. If my grandmother was 11 months old, that would date this picture to late September or early October of 1910.","Hildur y Corinne en la playa en Santa Monica. Si mi abuela tenÃ_a once aÃ±os, esta foto datarÃ_a de fines de septiembre o principios de octubre de 1910.",,,,,,"(CC) Derek, Creative Commons License BY-NC-ND 2.0",Derek,beach,https://creativecommons.org/licenses/by-nc-nd/2.0/,,https://creativecommons.org/licenses/by-nc-nd/2.0/,,,,Coast,19,Los Angeles,,https://www.flickr.com/photos/justderek/2246145039,,,,,175,105,1.66667,1000,603,1.65837,"Hildur y Corinne en la playa en Santa Monica. Si mi abuela tenÃ_a once aÃ±os, esta foto datarÃ_a de fines de septiembre o principios de octubre de 1910."
,Laurel Canyon Trackless Trolley,,Laurel Canyon Trackless Trolley. James Rojas Collecton,2943127985_4955b9fa69_o,ds19042,,,1915,1915-00-00,1915,"Los Angeles, CA",,34.1173429,-118.3753081,Attic / Coast to Cactus,Laurel Canyon trackless trolley.,TrolebÃºs de Laurel Canyon.,,,,,,"(CC) Metro Library and Archive, James Rojas Collection, Creative Commons License BY-NC-SA 2.0",Metro Library and Archive,transportation,https://creativecommons.org/licenses/by-nc-sa/2.0/,,https://creativecommons.org/licenses/by-nc-sa/2.0/,,,,Chaparral,19,Los Angeles,,https://www.flickr.com/photos/metrolibraryarchive/2943127985/,,,,,175,110,1.59091,1000,626,1.59744,TrolebÃºs de Laurel Canyon.
,Rio de Los Angeles State Park Grand Opening Earth Day Weekend April 2007,,Rio de Los Angeles State Park Grand Opening Earth Day Weekend April 2007. Anahuak Youth Association members plant trees at the Rio de Los Angeles State Park.,846532351_4f149eb062_o (1),ds19041,,,21-Apr-07,4/21/07,2007-Apr-21,"Los Angeles, CA",,34.098711,-118.23585,Attic / Coast to Cactus,Anahuak Youth Association members plant trees at the grand opening of Rio de Los Angeles State Park on Earth Day weekend.,Miembros de la AsociaciÃ_n de JÃ_venes Anahuak plantan Ã¡rboles en la inauguraciÃ_n del Parque Estatal RÃ_o de Los ÃÅngeles durante el fin de semana en que se celebrÃ_ el DÃ_a de la Tierra.,,,,,,"(CC) The City Project, Creative Commons License BY-NC-SA 2.0",The City Project,"park, river",https://creativecommons.org/licenses/by-nc-sa/2.0/,,https://creativecommons.org/licenses/by-nc-sa/2.0/,,,,Urban,19,Los Angeles,,https://www.flickr.com/photos/cityprojectca/846532351,,,,,175,154,1.13636,909,800,1.13625,Miembros de la AsociaciÃ_n de JÃ_venes Anahuak plantan Ã¡rboles en la inauguraciÃ_n del Parque Estatal RÃ_o de Los ÃÅngeles durante el fin de semana en que se celebrÃ_ el DÃ_a de la Tierra.
,Los Angeles Skyline,,Los Angeles Skyline,4235877487_8ba611091f_o (1),ds19040,Dave Reichert,,31-Dec-09,12/31/09,2009-Dec-31,"Los Angeles, CA",,34.1923645,-118.493162,Attic / Coast to Cactus,The Los Angeles skyline.,El horizonte urbano de Los ÃÅngeles.,,,,,,"(CC) Dave Reichert, Creative Commons License BY-NC 2.0",Dave Reichert,"skyline, city",https://creativecommons.org/licenses/by-nc/2.0/,,https://creativecommons.org/licenses/by-nc/2.0/,,,,Urban,19,Los Angeles,,https://www.flickr.com/photos/dreichert/4235877487,,,,,175,117,1.49573,1000,666,1.5015,El horizonte urbano de Los ÃÅngeles.
,Mulholland Ridge Trail,,Mulholland Ridge Trail. Went hiking with my family around Los Angeles. Here is the view towards the city from Mulholland Ridge Trail in the afternoon of a foggy and smoggy day.,3159091994_c25bec8164_o,ds19039,Pedro Szekely,,1-Jan-09,1/1/09,2009-Jan-01,"Los Angeles, CA",,34.1499619,-118.6184087,Attic / Coast to Cactus,Went hiking with my family around Los Angeles.  Here is the view towards the city from Mulholland Ridge Trail in the afternoon of a foggy and smoggy day.,Fui de caminata con mi familia alrededor de Los ÃÅngeles. AquÃ_ estÃ¡ la vista hacia la ciudad desde el sendero de Mulholland Ridge durante una tarde con neblina y smog.,,,,,,"(CC) Pedro Szekely, Creative Commons License BY-NC 2.0",Pedro Szekely,trail,https://creativecommons.org/licenses/by-nc-sa/2.0/,,https://creativecommons.org/licenses/by-nc-sa/2.0/,,,,Chaparral,19,Los Angeles,,https://www.flickr.com/photos/pedrosz/3159091994/,,,,,175,117,1.49573,1000,667,1.49925,Fui de caminata con mi familia alrededor de Los ÃÅngeles. AquÃ_ estÃ¡ la vista hacia la ciudad desde el sendero de Mulholland Ridge durante una tarde con neblina y smog.
,Hollywood sign as seen from Kaiser Permanente Los Angeles,,"Hollywood sign as seen from Kaiser Permanente, Los Angeles.",13901558797_91d82b3df6_o,ds19038,Ted Eytan,,1-May-14,5/1/14,2014-May-01,"Los Angeles, CA",,34.098435,-118.2937345,Attic / Coast to Cactus,Hollywood sign as seen from the Kaiser Permanente building in Los Angeles.,El cartel de Hollywood visto desde el edificio de Kaiser Permanente en Los ÃÅngeles.,,,,,,"(CC) Ted Eytan, Creative Commons License BY-SA 2.0",Ted Eytan,"city, hills",https://creativecommons.org/licenses/by-sa/2.0/,,https://creativecommons.org/licenses/by-sa/2.0/,,,,Chaparral,19,Los Angeles,,https://www.flickr.com/photos/taedc/13901558797,,,,,175,104,1.68269,1000,592,1.68919,El cartel de Hollywood visto desde el edificio de Kaiser Permanente en Los ÃÅngeles.
,HDR: Los Angeles Skyline,,Los Angeles Skyline: View of the smog from Griffith Observatory.,2186120627_3061a8b4b6_o,ds19037,Al Pavangkanan,,11-Jan-08,1/11/08,2008-Jan-11,"Los Angeles, CA",,34.118434,-118.300394,Attic / Coast to Cactus,Los Angeles Skyline:  view of the smog from Griffith Observatory.,El horizonte urbano de Los ÃÅngeles: vista del smog desde el observatorio Griffith.,,,,,,"(CC) Al Pavangkanan, Creative Commons License 2.0",Al Pavangkanan,"smog, city, skyline",https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,,19,Los Angeles,,,,,,,175,131,1.33588,1000,750,1.33333,El horizonte urbano de Los ÃÅngeles: vista del smog desde el observatorio Griffith.
,Los Angeles Freeway Intersection: the anti-urban revolution.,,Los Angeles Freeway Intersection: the anti-urban revolution. These slides were used in a lecture presented by JR James at the Department of Town and Regional Planning at The University of Sheffield between 1967 and 1978.,9420304521_f14bcf2d22_o,ds19036,,,Between 1967 and 1978,1972-00-00,1967/1978,"Los Angeles, CA",,34.0204989,-118.4117325,Attic / Coast to Cactus,Los Angeles freeways intersecting.,IntersecciÃ_n de autopistas de Los ÃÅngeles.,,,,,,"(CC) The JR James Archive, Creative Commons License BY-NC 2.0",The JR James Archive,freeway,https://creativecommons.org/licenses/by-nc/2.0/,,https://creativecommons.org/licenses/by-nc/2.0/,,,,,19,Los Angeles,,https://www.flickr.com/photos/jrjamesarchive/9420304521,,,,,175,115,1.52174,1000,656,1.52439,IntersecciÃ_n de autopistas de Los ÃÅngeles.
,"Los Angeles, California, Radar Image, (NASA, 02/17/00)",,"Los Angeles, California, Radar Image, (NASA, 02/17/00) This topographic radar image shows the relationships of the dense urban development of Los Angeles and the natural contours of the land. The image includes the Pacific Ocean on the left, the flat Los Angeles Basin across the center, and the steep ranges of the Santa Monica and Verdugo mountains along the top. The two dark strips near the coast at lower left are the runways of Los Angeles International Airport. Downtown Los Angeles is the bright yellow and pink area at lower center. Pasadena, including the Rose Bowl, are seen half way down the right edge of the image. The communities of Glendale and Burbank, including the Burbank Airport, are seen at the center of the top edge of the image. Hazards from earthquakes, floods and fires are intimately related to the topography in this area. Topographic data and other remote sensing images provide valuable information for assessing and mitigating the natural hazards for cities such as Leangles.
 
This image combines two types of data from the Shuttle Radar Topography Mission. The image brightness corresponds to the strength of the radar signal reflected from the ground, while colors show the elevation as measured by SRTM. Each cycle of colors (from pink through blue back to pink) represents an equal amount of elevation difference (400 meters, or 1300 feet) similar to contour lines on a standard topographic map. This image contains about 2400 meters (8000 feet) of total relief.
 
The Shuttle Radar Topography Mission (SRTM), launched on February 11,2000, uses the same radar instrument that comprised the Spaceborne Imaging Radar-C/X-Band Synthetic Aperture Radar (SIR-C/X-SAR) that flew twice on the Space Shuttle Endeavour in 1994. The mission is designed to collect three-dimensional measurements of the Earth's surface.
 
Image credit: NASA Jet Propulsion Laboratory (NASA-JPL)
 
View original image:
nix.larc.nasa.gov/info;jsessionid=76ofmomii6krj?id=PIA027...",5099065765_52b695ba38_o,ds19035,,,17-Feb-00,2/17/00,2000-Feb-17,"Los Angeles, CA",,34.0204989,-118.4117325,Attic / Coast to Cactus,This topographic radar image shows the relationships of the dense urban development of Los Angeles and the natural contours of the land.,Esta imagen topogrÃ¡fica de radar muestra las relaciones entre el denso desarrollo urbano de Los ÃÅngeles y los contornos naturales de la tierra.,,,,,,"(CC) NASA Jet Propulsion Laboratory, Creative Commons License BY-NC 2.0",NASA Jet Propulsion Laboratory (NASA-JPL),radar,https://creativecommons.org/licenses/by-nc/2.0/,,https://creativecommons.org/licenses/by-nc/2.0/,,,,,19,Los Angeles,,https://www.flickr.com/photos/nasamarshall/5099065765/,,,,,175,127,1.37795,1000,724,1.38122,Esta imagen topogrÃ¡fica de radar muestra las relaciones entre el denso desarrollo urbano de Los ÃÅngeles y los contornos naturales de la tierra.
,Los Angeles Area at Night,,"Los Angeles Area at Night (NASA, International Space Station, 12/25/11). This night time infrared image of the Los Angeles metropolitan area was photographed by an Expedition 30 crew member aboard the International Space Station on Dec. 25 (though it was late Dec. 24 in California). The focal length used was 58-mm and the exposure time was 1/200 seconds.",6588279287_245a2344db_o,ds19034,,,25-Dec-11,12/25/11,2011-Dec-25,"Los Angeles, CA",,34.0204989,-118.4117325,Attic / Coast to Cactus,This night-time infrared image of the Los Angeles metropolitan area was photographed by a crew member aboard the International Space Station.,Esta imagen nocturna en infrarojo del Ã¡rea metropolitana de Los ÃÅngeles fue tomada por un miembro del equipo a bordo de la EstaciÃ_n Espacial Internacional.,,,,,,"(CC) NASA, Creative Commons License BY-NC 2.0",NASA,"city, night",https://creativecommons.org/licenses/by-nc/2.0/,,https://creativecommons.org/licenses/by-nc/2.0/,,,,,19,Los Angeles,,https://www.flickr.com/photos/nasamarshall/6588279287,,,,,175,116,1.50862,1000,665,1.50376,Esta imagen nocturna en infrarojo del Ã¡rea metropolitana de Los ÃÅngeles fue tomada por un miembro del equipo a bordo de la EstaciÃ_n Espacial Internacional.
,Los Angeles River,,Los Angeles River,2096062459_5f658d79cf_o,ds19033,Al Pavangkanan,,8-Dec-07,12/8/07,2007-Dec-08,"Lake Balboa, Los Angeles, CA",,34.1923645,-118.493162,Attic / Coast to Cactus,Los Angeles River.,El RÃ_o de Los ÃÅngeles.,,,,,,"(CC) Al Pavangkanan, Creative Commons License 2.0",Al Pavangkanan,river,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Riparian,19,Los Angeles,,www.flickr.com/photos/drtran/2096062459,,,,,175,131,1.33588,1000,750,1.33333,El RÃ_o de Los ÃÅngeles.
,Los Angeles River,,Los Angeles River,5379432644_62d0349d91_o,ds19032,David Wilson,,7-Oct-95,10/7/95,1995-Oct-07,Los Angeles River,,33.9763127,-118.3852033,Attic / Coast to Cactus,Los Angeles River.,El RÃ_o de Los ÃÅngeles.,,,,,,"(CC) David Wilson, Creative Commons License 2.0",David Wilson,river,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Riparian,19,Los Angeles,,https://www.flickr.com/photos/davidwilson1949/5379432644,,,,,175,117,1.49573,1000,666,1.5015,El RÃ_o de Los ÃÅngeles.
,Manhattan Beach,,Manhattan Beach,SBard_Manhattan03,ds19031,Susanne Clara Bard,,2014,2014-00-00,2014,"Manhattan Beach, CA",,33.8894944,-118.4010315,Attic / Coast to Cactus,Manhattan Beach.,Manhattan Beach.,,,,,,Â© Susanne Clara Bard,Susanne Clara Bard,beach,Need release,,,,,,Coast,19,Los Angeles,,,,,,,175,90,1.94444,1000,513,1.94932,Manhattan Beach.
,Manhattan Beach,,Manhattan Beach,SBard_Manhattan02,ds19030,Susanne Clara Bard,,2014,2014-00-00,2014,"Manhattan Beach, CA",,33.8894944,-118.4010315,Attic / Coast to Cactus,Manhattan Beach bike path.,Carril para bicicletas en Manhattan Beach.,,,,,,Â© Susanne Clara Bard,Susanne Clara Bard,beach,Need release,,,,,,Coast,19,Los Angeles,,,,,,,175,131,1.33588,1000,750,1.33333,Carril para bicicletas en Manhattan Beach.
,Manhattan Beach,,Manhattan Beach,SBard_Manhattan01,ds19029,Susanne Clara Bard,,2014,2014-00-00,2014,"Manhattan Beach, CA",,33.8894944,-118.4010315,Attic / Coast to Cactus,Walkway down to Manhattan Beach.,Pasadizo que va hacia Manhattan Beach.,,,,,,Â© Susanne Clara Bard,Susanne Clara Bard,beach,Need release,,,,,,Coast,19,Los Angeles,,,,,,,139,175,0.794286,636,800,0.795,Pasadizo que va hacia Manhattan Beach.
,waves,,waves,6682615859_79891c1f58_o,ds19028,Michael Field,,2012,2012-00-00,2012,"Los Angeles, CA",,33.941589,-118.40853,Attic / Coast to Cactus,Waves.,Olas.,,,,,,Â© Michael Field,Michael Field,airport,Need release,,,,,,Coast,19,Los Angeles,,https://www.flickr.com/photos/minkfink58/6682615859/in/set-72157628833156847/,,,,,175,131,1.33588,1000,750,1.33333,Olas.
,El Segundo blue butterfly (Euphilotes battoides allyni),,"A federally endangered species, the El Segundo blue butterfly depends on the coast buckwheat plant at each of its four life stages (egg, larva, pupa, and adult). It is found only along coastal dune habitat on the southeastern shores of Santa Monica Bay, Los Angeles County, California.",8159502027_ef4e227eb4_o,ds19027,Eric Porter,,2012,2012-00-00,2012,"Santa Monica Bay, CA",,33.965567,-118.4450779,Attic / Coast to Cactus,"A federally endangered species, the El Segundo blue butterfly is found only along coastal dune habitat on the southeastern shores of Santa Monica Bay, Los Angeles County, California.","Una especie en peligro de extinciÃ_n a nivel federal, la mariposa azul de El Segundo se encuentra Ãºnicamente a lo largo del hÃ¡bitat de dunas costeras en la costa sudeste de la bahÃ_a de Santa Monica en el condado de Los ÃÅngeles, California.",,,,,,U.S. Fish & Wildlife Service/Creative Commons 2.0 License,Eric Porter/U.S. Fish & Wildlife Service,"butterfly, endangered",https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Coast,19,Los Angeles,,https://www.flickr.com/photos/usfws_pacificsw/8159502027/in/set-72157625370733930/,,,,,175,118,1.48305,1000,673,1.48588,"Una especie en peligro de extinciÃ_n a nivel federal, la mariposa azul de El Segundo se encuentra Ãºnicamente a lo largo del hÃ¡bitat de dunas costeras en la costa sudeste de la bahÃ_a de Santa Monica en el condado de Los ÃÅngeles, California."
