"umoId","title","artistCreator","description","objectId","_id","photographer","people","date","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","family","genus","species","medium","projectCode","projectName","notes","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes"
"","Rio de Los Angeles State Park Grand Opening Earth Day Weekend April 2007","","Rio de Los Angeles State Park Grand Opening Earth Day Weekend April 2007. Anahuak Youth Association members plant trees at the Rio de Los Angeles State Park.","846532351_4f149eb062_o (1)","ds19041","","","2007-Apr-21","Los Angeles, CA","","34.098711","-118.23585","Attic Section","Anahuak Youth Association members plant trees at the grand opening of Rio de Los Angeles State Park on Earth Day weekend.","","","","","","","","","","16","Coast to Cactus","","(CC) The City Project, Creative Commons License BY-NC-SA 2.0","The City Project","park, river","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/cityprojectca/846532351"
"","Los Angeles Skyline","","Los Angeles Skyline","4235877487_8ba611091f_o (1)","ds19040","Dave Reichert","","2009-Dec-31","Los Angeles, CA","","34.1923645","-118.493162","Attic Section","The Los Angeles skyline.","","","","","","","","","","16","Coast to Cactus","","(CC) Dave Reichert, Creative Commons License BY-NC 2.0","Dave Reichert","skyline, city","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/dreichert/4235877487"
"","Mulholland Ridge Trail","","Mulholland Ridge Trail. Went hiking with my family around Los Angeles. Here is the view towards the city from Mulholland Ridge Trail in the afternoon of a foggy and smoggy day.","3159091994_c25bec8164_o","ds19039","Pedro Szekely","","2009-Jan-01","Los Angeles, CA","","34.1499619","-118.6184087","Attic Section","Went hiking with my family around Los Angeles. Here is the view towards the city from Mulholland Ridge Trail in the afternoon of a foggy and smoggy day.","","","","","","","","","","16","Coast to Cactus","","(CC) Pedro Szekely, Creative Commons License BY-NC 2.0","Pedro Szekely","trail","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Chaparral","19","Los Angeles","","https://www.flickr.com/photos/pedrosz/3159091994/"
"","Hollywood sign as seen from Kaiser Permanente Los Angeles","","Hollywood sign as seen from Kaiser Permanente, Los Angeles.","13901558797_91d82b3df6_o","ds19038","Ted Eytan","","2014-May-01","Los Angeles, CA","","34.098435","-118.2937345","Attic Section","Hollywood sign as seen from the Kaiser Permanente building in Los Angeles.","","","","","","","","","","16","Coast to Cactus","","(CC) Ted Eytan, Creative Commons License BY-SA 2.0","Ted Eytan","city, hills","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Chaparral","19","Los Angeles","","https://www.flickr.com/photos/taedc/13901558797"
"","HDR: Los Angeles Skyline","","Los Angeles Skyline: View of the smog from Griffith Observatory.","2186120627_3061a8b4b6_o","ds19037","Al Pavangkanan","","2008-Jan-11","Los Angeles, CA","","34.118434","-118.300394","Attic Section","Los Angeles Skyline: view of the smog from Griffith Observatory.","","","","","","","","","","16","Coast to Cactus","","(CC) Al Pavangkanan, Creative Commons License 2.0","Al Pavangkanan","smog, city, skyline","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","","19","Los Angeles","",""
"","Los Angeles Freeway Intersection: the anti-urban revolution.","","Los Angeles Freeway Intersection: the anti-urban revolution. These slides were used in a lecture presented by JR James at the Department of Town and Regional Planning at The University of Sheffield between 1967 and 1978.","9420304521_f14bcf2d22_o","ds19036","","","1967/1978","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Los Angeles freeways intersecting.","","","","","","","","","","16","Coast to Cactus","","(CC) The JR James Archive, Creative Commons License BY-NC 2.0","The JR James Archive","freeway","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","19","Los Angeles","","https://www.flickr.com/photos/jrjamesarchive/9420304521"
"","Los Angeles, California, Radar Image, (NASA, 02/17/00)","","Los Angeles, California, Radar Image, (NASA, 02/17/00) This topographic radar image shows the relationships of the dense urban development of Los Angeles and the natural contours of the land. The image includes the Pacific Ocean on the left, the flat Los Angeles Basin across the center, and the steep ranges of the Santa Monica and Verdugo mountains along the top. The two dark strips near the coast at lower left are the runways of Los Angeles International Airport. Downtown Los Angeles is the bright yellow and pink area at lower center. Pasadena, including the Rose Bowl, are seen half way down the right edge of the image. The communities of Glendale and Burbank, including the Burbank Airport, are seen at the center of the top edge of the image. Hazards from earthquakes, floods and fires are intimately related to the topography in this area. Topographic data and other remote sensing images provide valuable information for assessing and mitigating the natural hazards for cities such as Leangles.
 
This image combines two types of data from the Shuttle Radar Topography Mission. The image brightness corresponds to the strength of the radar signal reflected from the ground, while colors show the elevation as measured by SRTM. Each cycle of colors (from pink through blue back to pink) represents an equal amount of elevation difference (400 meters, or 1300 feet) similar to contour lines on a standard topographic map. This image contains about 2400 meters (8000 feet) of total relief.
 
The Shuttle Radar Topography Mission (SRTM), launched on February 11,2000, uses the same radar instrument that comprised the Spaceborne Imaging Radar-C/X-Band Synthetic Aperture Radar (SIR-C/X-SAR) that flew twice on the Space Shuttle Endeavour in 1994. The mission is designed to collect three-dimensional measurements of the Earth's surface.
 
Image credit: NASA Jet Propulsion Laboratory (NASA-JPL)
 
View original image:
nix.larc.nasa.gov/info;jsessionid=76ofmomii6krj?id=PIA027...","5099065765_52b695ba38_o","ds19035","","","2000-Feb-17","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","This topographic radar image shows the relationships of the dense urban development of Los Angeles and the natural contours of the land.","","","","","","","","","","16","Coast to Cactus","","(CC) NASA Jet Propulsion Laboratory, Creative Commons License BY-NC 2.0","NASA Jet Propulsion Laboratory (NASA-JPL)","radar","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","19","Los Angeles","","https://www.flickr.com/photos/nasamarshall/5099065765/"
"","Los Angeles Area at Night","","Los Angeles Area at Night (NASA, International Space Station, 12/25/11). This night time infrared image of the Los Angeles metropolitan area was photographed by an Expedition 30 crew member aboard the International Space Station on Dec. 25 (though it was late Dec. 24 in California). The focal length used was 58-mm and the exposure time was 1/200 seconds.","6588279287_245a2344db_o","ds19034","","","2011-Dec-25","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","This night time infrared image of the Los Angeles metropolitan area was photographed by a crew member aboard the International Space Station.","","","","","","","","","","16","Coast to Cactus","","(CC) NASA, Creative Commons License BY-NC 2.0","NASA","city, night","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","19","Los Angeles","","https://www.flickr.com/photos/nasamarshall/6588279287"
"","Los Angeles River","","Los Angeles River","2096062459_5f658d79cf_o","ds19033","Al Pavangkanan","","2007-Dec-08","Lake Balboa, Los Angeles, CA","","34.1923645","-118.493162","Attic Section","Los Angeles River.","","","","","","","","","","16","Coast to Cactus","","(CC) Al Pavangkanan, Creative Commons License 2.0","Al Pavangkanan","river","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Riparian","19","Los Angeles","","www.flickr.com/photos/drtran/2096062459"
"","Los Angeles River","","Los Angeles River","5379432644_62d0349d91_o","ds19032","David Wilson","","1995-Oct-07","Los Angeles River","","33.9763127","-118.3852033","Attic Section","Los Angeles River.","","","","","","","","","","16","Coast to Cactus","","(CC) David Wilson, Creative Commons License 2.0","David Wilson","river","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Riparian","19","Los Angeles","","https://www.flickr.com/photos/davidwilson1949/5379432644"
"","Manhattan Beach","","Manhattan Beach","SBard_Manhattan03","ds19031","Susanne Clara Bard","","2014","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic Section","Manhattan Beach.","","","","","","","","","","16","Coast to Cactus","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","",""
"","Manhattan Beach","","Manhattan Beach","SBard_Manhattan02","ds19030","Susanne Clara Bard","","2014","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic Section","Manhattan Beach bike path.","","","","","","","","","","16","Coast to Cactus","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","",""
"","Manhattan Beach","","Manhattan Beach","SBard_Manhattan01","ds19029","Susanne Clara Bard","","2014","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic Section","Walkway down to Manhattan Beach.","","","","","","","","","","16","Coast to Cactus","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","",""
"","waves","","waves","6682615859_79891c1f58_o","ds19028","Michael Field","","2012","Los Angeles, CA","","33.941589","-118.40853","Attic Section","Waves.","","","","","","","","","","16","Coast to Cactus","","© Michael Field","Michael Field","airport","Need release","","","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/minkfink58/6682615859/in/set-72157628833156847/"
"","El Segundo blue butterfly (Euphilotes battoides allyni)","","A federally endangered species, the El Segundo blue butterfly depends on the coast buckwheat plant at each of its four life stages (egg, larva, pupa, and adult). It is found only along coastal dune habitat on the southeastern shores of Santa Monica Bay, Los Angeles County, California.","8159502027_ef4e227eb4_o","ds19027","Eric Porter","","2012","Santa Monica Bay, CA","","33.965567","-118.4450779","Attic Section","A federally endangered species, the El Segundo blue butterfly is found only along coastal dune habitat on the southeastern shores of Santa Monica Bay, Los Angeles County, California.","","","","","","","","","","16","Coast to Cactus","","U.S. Fish & Wildlife Service/Creative Commons 2.0 License","Eric Porter/U.S. Fish & Wildlife Service","butterfly, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/usfws_pacificsw/8159502027/in/set-72157625370733930/"
"","endangered Palos Verdes blue butterfly","","endangered Palos Verdes blue butterfly","5170035661_222a235dbf_o","ds19026","Jane Hendron","","2009","Los Angeles County, CA","","34.2634423","-118.2952539","Attic Section","Endangered Palos Verdes blue butterfly.","","","","","","","","","","16","Coast to Cactus","","U.S. Fish & Wildlife Service/Creative Commons 2.0 License","Jane Hendron/U.S. Fish & Wildlife Service","butterfly, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/usfws_pacificsw/5170035661/in/set-72157625370733930/"
"","Earthquake radio service","","Youth on March 16, 1933 received high praise for its service in the 1933 Long Beach earthquake emergency and rehabilitation. This amateur short-wave radio station in Bixby Park, Long Beach, sent more than 1200 messages free of charge for the public and received hundreds of replies from all over the world. Left to right, James Johnson of W6GJA; Myron Fuller, head of the station; L. P. Abarta of W6BIF; J. F. Land of W6GID; and Billy Miller, Boy Scout acting as messenger.","00057399_R","ds19025r","Bentley, Frank.","Left to right, James Johnson of W6GJA; Myron Fuller, head of the station; L. P. Abarta of W6BIF; J. F. Land of W6GID; and Billy Miller, Boy Scout acting as messenger.","1933-Mar-16","Long Beach, CA","","33.76558","-118.167123","Attic Section","After the March 16, 1933 earthquake in Long Beach, this amateur short-wave radio station in Bixby Park sent more than 1200 messages free of charge for the public.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Herald-Examiner Collection","scout, earthquake","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=145&controlNumber=59292"
"","Valley lads revel during Scout Camporeno exercises","","Photograph caption dated June 4, 1956 reads, ""First arrival - 'Sweating out' arrival of his buddies, boy scout Mike Miller of Troop 139 is first on scene at North Hollywood District Camporeno. Meetings set for camp training purposes attracted every single Boy Scout troop in Valley at three different locations. Site above is Griffith Park.""","00109148_R","ds19024r","Dean, Gordon.","","1956-Jun-04","Los Angeles, CA","","34.136554","-118.2942","Attic Section","Boy Scout Mike Miller of Troop 139 was the first to arrive at the 1956 North Hollywood District Camporeno.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Valley Times Collection","scout","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=98&controlNumber=5238279"
"","Girls in Elysian Park campsite","","Two children stand in front of a tent, clothes hang on a makeship line, and a car is parked in the camping area.","00007684_R","ds19023r","","","1920-uuu","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Two children stand in front of a tent, clothes hang on a makeshift line, and a car is parked in the camping area.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=96&controlNumber=8564 / date is an estimate based on the car"
"","Camping in Santa Monica Canyon","","People in folk costumes are camping in tents in Santa Monica Canyon probably in the 1890s.","00030741_R","ds19022r","","","189u","Los Angeles, CA","","34.0063946","-118.4980641","Attic Section","People in folk costumes are camping in tents in Santa Monica Canyon, probably in the 1890s.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=91&controlNumber=32524"
"","Camping in an L.A. park in the 1920s","","Automobiles can be seen parked closely to tents in a park-like setting. A tent can be seen extended from the rear of the second car from right.","00009961_R","ds19021r","","","192u","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Automobiles can be seen parked closely to tents in a park-like setting. A tent can be seen extended from the rear of the second car from right.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping, city park","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=90&controlNumber=11953"
"","Camping on Santa Monica beach [graphic]","","People in front of their house-tents on Santa Monica beach in 1890.","00028836_R","ds19020r","","","1890","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","People in front of their house-tents on Santa Monica beach in 1890.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping, beach","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=67&controlNumber=32632"
"","Cahuenga Pass","","Before roads and rail lines were built traveling through the Cahuenga Pass was by wagons and horses. Here a group of people have stopped to camp and cook something to eat. Another horse drawn vehicles passes them by on the road.","00011495_R","ds19019r","","","1892","Cahuenga Pass, Los Angeles, CA","","34.1244519","-118.3428553","Attic Section","Before roads and rail lines were built, traveling through the Cahuenga Pass was by wagons and horses. Here a group of people have stopped to camp.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library Security Pacific National Bank Collection","Los Angeles Public Library Security Pacific National Bank Collection","transportation","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=66&controlNumber=13269"
"","caming","","W. B. Ware and his family, who may be evicted from the area of Terminal Island in which they have beencampingout due to the Depression.","00041973_R","ds19018r","","","1930","Long Beach, CA","","33.8065539","-118.1561095","Attic Section","W. B. Ware and his family, who may be evicted from the area of Terminal Island in which they have been camping out due to the Depression.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Herald-Examiner Collection","camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=56&controlNumber=46028"
"","camping","","The first Fourth of July celebration after WWII finds many people sleeping on the beach or in their cars.","00034800_R","ds19017r","","","1946","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","The first Fourth of July celebration after WWII finds many people sleeping on the beach or in their cars.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Herald-Examiner Collection","beach, camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=39&controlNumber=37890"
"","freeway","","Construction of the Ramona Boulevard freeway just east of the Macy Street (Cesar Chavez Avenue) Viaduct. On the left, Pacific Electric and Southern Pacific tracks run down the Canada de los Abilas.xLibraries.","ramona_construction_R","ds19016","","","1935","Los Angeles, CA","","34.0404852","-118.1517071","Attic Section","Construction of the Ramona Boulevard freeway just east of the Macy Street (Cesar Chavez Avenue) Viaduct. On the left, Pacific Electric and Southern Pacific tracks run down the Canada de los Abilas.","","","","","","","","","","16","Coast to Cactus","","Title Insurance and Trust / C.C. Pierce Photography Collection, USC Libraries.","California Historical Society Collection, USC Libraries.","freeway","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://www.kcet.org/updaily/socal_focus/history/la-as-subject/las-first-freeways.html"
"","aqueduct","","November 5, 1913 opening of the Los Angeles Aqueduct. Project engineer William Mulholland is at one of the wheels, opening the Sylmar Gates for the first time.","CHS-5788_R","ds19015r","","","1913-Nov-05","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Opening of the Los Angeles Aqueduct. Project engineer William Mulholland is at one of the wheels, opening the Sylmar Gates for the first time.","","","","","","","","","","16","Coast to Cactus","","Contact Nathan Masters at KCET to see where he got images - and http://www.laassubject.org/","Title Insurance and Trust / C.C. Pierce Photography Collection, USC Libraries.","water","TBD","","","","","","Chaparral","19","Los Angeles","","http://www.kcet.org/updaily/socal_focus/history/la-as-subject/earth-water-air-fire-a-historical-look-at-socals-troubled-relationship-with-the-four-classical-eleme.html"
"","oil derrick","","Oil derrick in the middle of a Beverly Hills Road","Oil-derrick-in-the-middle-of-a-Beverly-Hills-Road-1940_R","ds19014r","","","1940","Beverly Hills, Los Angeles, CA","","34.0825489","-118.3995339","Attic Section","Oil derrick in the middle of a Beverly Hills Road.","","","","","","","","","","16","Coast to Cactus","","See website to track down owner of image","TBD","oil","Get high res image?","","","","","","Chaparral","19","Los Angeles","","http://www.retronaut.com/2011/12/beach-oil-wells-southern-california/ see website for more info"
"","earthquake","","Long Beach, California, Earthquake March 10, 1933. Roadway between Seal Beach and Bolsa Chica Gun Club.","bww00224","ds19013","W.W. Bradley","","1933-Mar-10","Long Beach, CA","","33.8065539","-118.1561095","Attic Section","Long Beach, California, Earthquake March 10, 1933. Roadway between Seal Beach and Bolsa Chica Gun Club.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","earthquake","US Gov't so should be PD","","","","","","Coast","19","Los Angeles","","/htmllib/btch458/btch458j/btch458z/btch458/bww00224.jpg"
"","earthquake","","San Fernando Earthquake: broken slabs and fractures on Foothills Boulevard near intersection with Vaughn Street, February 9, 1971.","gesu0666","ds19012","Unknown","","1971-Feb-09","San Fernando, CA","","34.2889985","-118.4359885","Attic Section","San Fernando Earthquake: broken slabs and fractures on Foothills Boulevard near intersection with Vaughn Street, February 9, 1971.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","earthquake","US Gov't so should be PD","","","","","","Desert","19","Los Angeles","","/htmllib/btch566/btch566j/btch566z/btch566/gesu0666.jpg"
"","water","","Typical weir, Los Angeles River.","h2op0028","ds19011","Unknown","","1904","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Typical weir, Los Angeles River.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","river, water","US Gov't so should be PD","","","","","","Riparian","19","Los Angeles","","/htmllib/btch341/btch341j/btch341z/h2op0028.jpg"
"","streambed","","Streambed in Los Angeles County.","tdg0574b","ds19010","D.C. Thompson","","1920","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Streambed in Los Angeles County.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","water","US Gov't so should be PD","","","","","","Desert","19","Los Angeles","","/htmllib/btch172/btch172j/btch172z/btch172/tdg0574b.jpg"
"","water survey","","Water supply survey by USGS in Los Angeles County.","tdg00496 Near view of same well as in No. 495.","ds19009","D.C. Thompson","","1929","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Water supply survey by USGS in Los Angeles County.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","water","US Gov't so should be PD","","","","","","Desert","19","Los Angeles","","/htmllib/btch174/btch174j/btch174z/btch174/tdg00496.jpg"
"","Bixby Artesian Well","","Bixby Artesian Well. Downey Quad. Los Angeles, California. 1904.","mwc00668 Bixby Artesian Well. Downey Quad. Los Angeles, California. 1904.","ds19008","Mendenhall, W.C.","","1904","Los Angeles, CA","","34.0204989","-118.4117325","Attic Section","Bixby artesian well.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","water","US Gov't so should be PD","","","","","","Desert","19","Los Angeles","","/htmllib/btch430/btch430j/btch430z/btch430/mwc00668.jpg"
